Date,Temperature,Humidity,Soil Moisture,Rainfall,Water Usage,Crop
1/1/2022,16,61,41,88,175,Wheat
12/17/2022,19,43,20,153,117,Wheat
12/18/2022,23,43,65,6,164,Wheat
12/20/2022,21,40,43,178,180,Wheat
12/22/2022,17,35,75,12,145,Wheat
12/23/2022,23,56,72,178,188,Wheat
12/24/2022,23,73,32,102,54,Wheat
12/31/2022,22,73,41,140,52,Wheat
1/1/2023,20,37,58,93,166,Wheat
1/2/2023,17,52,71,84,154,Wheat
1/4/2023,18,44,47,36,84,Wheat
1/8/2023,21,80,41,122,107,Wheat
1/9/2023,16,85,71,44,176,Wheat
1/12/2023,17,56,23,195,186,Wheat
1/15/2023,19,53,32,159,103,Wheat
12/14/2022,23,41,36,183,114,Wheat
1/17/2023,16,45,42,191,74,Wheat
1/19/2023,21,75,49,172,94,Wheat
1/20/2023,20,70,65,193,197,Wheat
1/21/2023,15,87,31,29,136,Wheat
1/24/2023,17,69,75,93,68,Wheat
1/25/2023,18,42,20,99,64,Wheat
1/27/2023,17,62,23,12,122,Wheat
1/29/2023,21,66,77,152,171,Wheat
10/1/2023,22,56,36,91,110,Wheat
10/4/2023,18,81,40,53,137,Wheat
10/8/2023,21,82,59,80,159,Wheat
10/9/2023,17,73,26,149,148,Wheat
10/11/2023,16,62,31,64,150,Wheat
10/12/2023,21,39,63,135,84,Wheat
10/14/2023,23,65,43,160,133,Wheat
1/18/2023,17,68,58,21,119,Wheat
12/11/2022,19,36,47,162,183,Wheat
12/9/2022,22,58,26,113,72,Wheat
12/5/2022,21,83,21,127,97,Wheat
10/6/2022,16,63,62,161,71,Wheat
10/9/2022,22,63,20,83,54,Wheat
10/11/2022,19,47,79,19,158,Wheat
10/13/2022,15,62,76,8,131,Wheat
10/14/2022,17,53,33,68,73,Wheat
10/19/2022,19,88,24,96,153,Wheat
10/20/2022,16,76,45,94,158,Wheat
10/24/2022,22,90,64,7,159,Wheat
10/25/2022,21,63,44,55,189,Wheat
10/30/2022,21,51,72,51,95,Wheat
10/31/2022,22,67,37,3,59,Wheat
11/5/2022,21,77,68,73,108,Wheat
11/6/2022,20,45,66,83,179,Wheat
11/7/2022,15,38,66,47,195,Wheat
11/8/2022,15,32,57,184,197,Wheat
11/10/2022,22,74,36,70,95,Wheat
11/11/2022,22,85,52,151,168,Wheat
11/30/2022,24,58,75,150,137,Wheat
11/29/2022,17,31,71,114,143,Wheat
11/27/2022,17,74,49,96,131,Wheat
11/25/2022,22,39,70,9,154,Wheat
11/22/2022,15,90,76,100,70,Wheat
11/21/2022,20,45,24,17,188,Wheat
10/16/2023,24,41,29,186,94,Wheat
11/20/2022,23,45,60,29,183,Wheat
11/17/2022,18,58,35,188,181,Wheat
11/16/2022,17,42,24,22,55,Wheat
11/15/2022,22,89,48,87,56,Wheat
11/14/2022,20,36,64,29,92,Wheat
