Date,Temperature,Humidity,Soil Moisture,Rainfall,Water Usage,Crop
2022-01-01,16,61,41,88,175,Wheat
2022-01-02,30,33,80,0,153,Corn
2022-01-03,20,74,41,191,72,Wheat
2022-01-04,15,51,22,184,66,Wheat
2022-01-05,35,52,28,127,107,Corn
2022-01-06,34,66,47,176,87,Corn
2022-01-07,38,32,29,40,68,Corn
2022-01-08,24,90,76,4,140,Wheat
2022-01-09,29,66,80,163,105,Corn
2022-01-10,21,69,52,194,100,Wheat
2022-01-11,20,78,73,183,94,Wheat
2022-01-12,31,47,47,11,122,Corn
2022-01-13,22,48,57,47,194,Wheat
2022-01-14,37,72,30,128,93,Corn
2022-01-15,27,81,33,66,107,Corn
2022-01-16,27,34,65,31,72,Corn
2022-01-17,40,75,33,67,53,Corn
2022-01-18,27,35,41,80,99,Corn
2022-01-19,16,58,51,109,162,Wheat
2022-01-20,38,35,77,189,161,Corn
2022-01-21,22,50,25,162,94,Wheat
2022-01-22,18,33,27,23,71,Wheat
2022-01-23,29,76,71,21,143,Corn
2022-01-24,39,76,53,61,170,Corn
2022-01-25,38,57,50,119,69,Corn
2022-01-26,38,57,77,165,114,Corn
2022-01-27,17,80,29,11,161,Wheat
2022-01-28,40,84,37,134,108,Corn
2022-01-29,20,74,70,192,173,Wheat
2022-01-30,37,40,77,44,172,Corn
2022-01-31,22,46,73,46,176,Wheat
2022-02-01,20,61,35,66,69,Corn
2022-02-02,24,35,20,24,57,Corn
2022-02-03,37,57,55,160,78,Corn
2022-02-04,40,41,49,127,149,Corn
2022-02-05,33,37,28,187,116,Corn
2022-02-06,31,69,72,151,197,Corn
2022-02-07,24,60,73,90,105,Corn
2022-02-08,34,57,60,149,138,Corn
2022-02-09,40,39,34,169,74,Corn
2022-02-10,34,43,57,177,160,Corn
2022-02-11,26,69,30,148,152,Corn
2022-02-12,23,72,53,124,120,Corn
2022-02-13,18,38,56,106,91,Corn
2022-02-14,30,88,20,155,191,Corn
2022-02-15,24,77,26,26,93,Corn
2022-02-16,39,40,40,147,151,Corn
2022-02-17,16,39,59,168,197,Corn
2022-02-18,40,40,61,70,169,Corn
2022-02-19,16,89,79,142,66,Corn
2022-02-20,26,79,22,188,127,Corn
2022-02-21,15,60,51,36,155,Corn
2022-02-22,36,72,59,84,170,Corn
2022-02-23,18,55,65,93,92,Corn
2022-02-24,37,82,67,160,158,Corn
2022-02-25,27,33,45,121,57,Corn
2022-02-26,19,77,33,62,72,Corn
2022-02-27,32,44,77,51,185,Corn
2022-02-28,25,59,79,86,88,Corn
2022-03-01,37,77,21,78,89,Corn
2022-03-02,25,63,59,72,125,Corn
2022-03-03,38,48,78,62,184,Corn
2022-03-04,33,61,27,35,107,Corn
2022-03-05,20,45,38,50,99,Corn
2022-03-06,35,86,40,163,183,Corn
2022-03-07,35,40,44,121,54,Corn
2022-03-08,26,75,59,126,101,Corn
2022-03-09,39,76,41,134,165,Corn
2022-03-10,23,88,70,30,114,Corn
2022-03-11,19,60,67,126,162,Corn
2022-03-12,26,71,22,117,58,Corn
2022-03-13,34,74,67,22,86,Corn
2022-03-14,40,60,22,134,124,Corn
2022-03-15,23,57,38,94,84,Corn
2022-03-16,24,54,66,189,158,Corn
2022-03-17,21,59,64,70,56,Corn
2022-03-18,31,46,73,173,77,Corn
2022-03-19,28,38,78,178,123,Corn
2022-03-20,17,33,39,35,186,Corn
2022-03-21,17,81,34,164,151,Corn
2022-03-22,20,75,72,56,54,Corn
